BOOK_ID,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_DATES,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE
soc1,,Daughter of Earth,Smedley,Agnes,,,,1929,,American,SOC
soc2,,Daughter of Earth,Smedley,Agnes,,,,1929,,American,SOC
soc3,,Daughter of Earth,Smedley,Agnes,,,,1929,,American,SOC
soc4,,Daughter of Earth,Smedley,Agnes,,,,1929,,American,SOC
soc5,,Daughter of Earth,Smedley,Agnes,,,,1929,,American,SOC
soc6,,Hunger,Hamsen,Knut,,,,1890,,Norwegian,SOC
soc7,,Hunger,Hamsen,Knut,,,,1890,,Norwegian,SOC
soc8,,Hunger,Hamsen,Knut,,,,1890,,Norwegian,SOC
soc9,,Hunger,Hamsen,Knut,,,,1890,,Norwegian,SOC
soc10,,Hunger,Hamsen,Knut,,,,1890,,Norwegian,SOC
soc11,,Mysteries,Hamsen,Knut,,,,1892,,Norwegian,SOC
soc12,,Mysteries,Hamsen,Knut,,,,1892,,Norwegian,SOC
soc13,,Mysteries,Hamsen,Knut,,,,1892,,Norwegian,SOC
soc14,,Mysteries,Hamsen,Knut,,,,1892,,Norwegian,SOC
soc15,,Mysteries,Hamsen,Knut,,,,1892,,Norwegian,SOC
soc16,,Pan,Hamsen,Knut,,,,1894,,Norwegian,SOC
soc17,,Pan,Hamsen,Knut,,,,1894,,Norwegian,SOC
soc18,,Pan,Hamsen,Knut,,,,1894,,Norwegian,SOC
soc19,,Pan,Hamsen,Knut,,,,1894,,Norwegian,SOC
soc20,,Pan,Hamsen,Knut,,,,1894,,Norwegian,SOC
soc21,,Emilio's Carnival (Senita),Svevo,Italo,,,,1898,,Italian,SOC
soc22,,Emilio's Carnival (Senita),Svevo,Italo,,,,1898,,Italian,SOC
soc23,,Emilio's Carnival (Senita),Svevo,Italo,,,,1898,,Italian,SOC
soc24,,Emilio's Carnival (Senita),Svevo,Italo,,,,1898,,Italian,SOC
soc25,,Emilio's Carnival (Senita),Svevo,Italo,,,,1898,,Italian,SOC
soc26,,We'll to the Woods No More,Dujardin,Edouard,,,,1887,,French,SOC
soc27,,We'll to the Woods No More,Dujardin,Edouard,,,,1887,,French,SOC
soc28,,We'll to the Woods No More,Dujardin,Edouard,,,,1887,,French,SOC
